adaptive_speedup,clique_interval_lp_evaluations,clique_interval_matrix_nnz,clique_interval_matrix_storage_bytes,clique_relative_gap,clique_root_bound,clique_seconds,clique_solver_iterations,clique_splits,clique_status,clique_theta_evaluations,clique_theta_fraction,compressed_relative_gap,compressed_root_bound,compressed_seconds,compressed_splits,compressed_status,compressed_theta_evaluations,compressed_theta_fraction,configuration,family,final_lower_bound_relative_difference,gamma,instance,menu_size,n,repeats,seed,theta_count
2.4650787850058364,8,101785,1267596,5.716671161660722e-15,15650.3449920596,0.39979808300267905,13955,4,tolerance,12,0.46153846153846156,1.3832010876050922e-12,15591.379921253683,0.1621847080241423,3,tolerance,12,0.46153846153846156,primary,correlated_risk,0.0,26,correlated_risk_n720_m6_g26_s12,6,720,5,12,26
2.506767329985835,8,101830,1268136,5.4809486112543065e-15,15655.582608394372,0.4098949999897741,14669,4,tolerance,12,0.46153846153846156,7.074505265994521e-12,15598.122587305066,0.16351537499576807,3,tolerance,12,0.46153846153846156,primary,correlated_risk,0.0,26,correlated_risk_n720_m6_g26_s13,6,720,5,13,26
2.5068574655011178,8,101835,1268196,8.53384695768557e-15,15615.526792943108,0.40682891602045856,14119,4,tolerance,12,0.46153846153846156,4.235126131274422e-12,15559.949354300195,0.16228641700581647,3,tolerance,12,0.46153846153846156,primary,correlated_risk,0.0,26,correlated_risk_n720_m6_g26_s14,6,720,5,14,26
2.6909363682455116,8,101763,1267332,7.230056042353573e-15,15652.362734794073,0.43266579098417424,15114,4,tolerance,12,0.46153846153846156,2.1433617751364304e-12,15598.405096670827,0.16078633299912326,3,tolerance,12,0.46153846153846156,primary,correlated_risk,0.0,26,correlated_risk_n720_m6_g26_s15,6,720,5,15,26
3.0025689184865274,8,203577,2535180,0.0,31337.073465110767,1.014230749977287,27195,4,exact,12,0.46153846153846156,0.0,31251.811606491865,0.33778766699833795,4,exact,12,0.46153846153846156,primary,correlated_risk,0.0,37,correlated_risk_n1440_m6_g37_s11,6,1440,5,11,26
5.993483028526023,8,203535,2534676,0.0,31317.12680792012,1.017467416008003,27032,4,exact,12,0.46153846153846156,1.950705791793075e-12,31226.808984888627,0.16976229200372472,1,tolerance,6,0.23076923076923078,primary,correlated_risk,0.0,37,correlated_risk_n1440_m6_g37_s12,6,1440,5,12,26
6.280811725037228,8,203591,2535348,0.0,31347.610826014672,1.0525549160083756,28101,4,exact,12,0.46153846153846156,7.748256215216457e-13,31265.487618825773,0.16758262499934062,1,tolerance,6,0.23076923076923078,primary,correlated_risk,0.0,37,correlated_risk_n1440_m6_g37_s13,6,1440,5,13,26
3.0663129847073205,8,203581,2535228,0.0,31348.91136627644,0.9806870000029448,26940,4,exact,12,0.46153846153846156,1.1811888154892757e-12,31270.860263045193,0.3198261250217911,4,tolerance,12,0.46153846153846156,primary,correlated_risk,0.0,37,correlated_risk_n1440_m6_g37_s14,6,1440,5,14,26
3.1861565697794623,8,203606,2535528,0.0,31352.49091618972,1.0015436249959748,28113,4,exact,12,0.46153846153846156,1.4661552344214242e-14,31265.254240136885,0.31434224999975413,3,tolerance,12,0.46153846153846156,primary,correlated_risk,0.0,37,correlated_risk_n1440_m6_g37_s15,6,1440,5,15,26
1.6254525651421423,8,49544,617664,5.527720409958399e-16,6599.041613952779,0.1367100419884082,6328,4,tolerance,12,0.46153846153846156,1.790981412826521e-13,6581.336495509277,0.08410583299701102,3,tolerance,12,0.46153846153846156,primary,near_tie,0.0,18,near_tie_n360_m6_g18_s11,6,360,5,11,26
1.6249957101860852,8,49544,617664,0.0,6626.426066857643,0.14200133399572223,5923,4,exact,12,0.46153846153846156,1.851100878447481e-11,6610.256043132788,0.08738566699321382,3,tolerance,12,0.46153846153846156,primary,near_tie,0.0,18,near_tie_n360_m6_g18_s12,6,360,5,12,26
5.28409328131955,8,49544,617664,0.0,6615.195495234493,0.13762883300660178,5873,4,exact,12,0.46153846153846156,1.1028882414362224e-13,6597.184864995209,0.026045874983537942,0,tolerance,3,0.11538461538461539,primary,near_tie,0.0,18,near_tie_n360_m6_g18_s13,6,360,5,13,26
1.9830735309685674,7,43999,548232,0.0,6602.2649549264,0.12856629199814051,5391,3,exact,12,0.46153846153846156,6.8498636689751635e-12,6588.723187421376,0.0648318330058828,2,tolerance,9,0.34615384615384615,primary,near_tie,0.0,18,near_tie_n360_m6_g18_s14,6,360,5,14,26
1.6324592971397496,8,49544,617664,0.0,6591.120997237098,0.13847920898115262,6214,4,exact,12,0.46153846153846156,1.1968109323192381e-12,6575.689979049485,0.08482858299976215,3,tolerance,12,0.46153846153846156,primary,near_tie,0.0,18,near_tie_n360_m6_g18_s15,6,360,5,15,26
1.7962681486919998,8,99080,1235136,0.0,13228.327055875374,0.2889255410118494,11199,4,exact,12,0.46153846153846156,1.0879198611766023e-12,13213.7244380137,0.1608476669935044,3,tolerance,12,0.46153846153846156,primary,near_tie,0.0,26,near_tie_n720_m6_g26_s11,6,720,5,11,26
1.9099037811027673,8,99080,1235136,0.0,13264.38551702545,0.2932192500156816,11534,4,exact,12,0.46153846153846156,3.1460834843619097e-12,13246.008074015075,0.15352566601359285,3,tolerance,12,0.46153846153846156,primary,near_tie,0.0,26,near_tie_n720_m6_g26_s12,6,720,5,12,26
