construct_seconds,family,instance,method,n,query_seconds,repeat,seed,total_seconds
0.0461645840005076,correlated_risk,correlated_risk_n360_m6_g18_s21,dense,360,0.008158999999977823,0,21,0.05436970899972948
0.044052459000340605,correlated_risk,correlated_risk_n360_m6_g18_s21,dense,360,0.008178500000212807,1,21,0.052279417000136164
0.006840625000222644,correlated_risk,correlated_risk_n360_m6_g18_s21,compressed,360,0.0012850410003011348,1,21,0.00821300000006886
0.007615374999659252,correlated_risk,correlated_risk_n360_m6_g18_s21,compressed,360,0.0012594170002557803,2,21,0.009014792000016314
0.04443479100063996,correlated_risk,correlated_risk_n360_m6_g18_s21,dense,360,0.008052499999394058,2,21,0.052542459000505914
0.04419591599980777,correlated_risk,correlated_risk_n360_m6_g18_s21,dense,360,0.00789316600003076,3,21,0.05213783299950592
0.006809708000218961,correlated_risk,correlated_risk_n360_m6_g18_s21,compressed,360,0.0011994999995295075,3,21,0.008067167000262998
0.006759082999451493,correlated_risk,correlated_risk_n360_m6_g18_s21,compressed,360,0.0011560829998416011,4,21,0.007974292000653804
0.04429816599986225,correlated_risk,correlated_risk_n360_m6_g18_s21,dense,360,0.007969999999659194,4,21,0.052313959000457544
0.0462912500006496,correlated_risk,correlated_risk_n360_m6_g18_s22,dense,360,0.00823554199996579,0,22,0.05457879099958518
0.006681832999674953,correlated_risk,correlated_risk_n360_m6_g18_s22,compressed,360,0.0011656249998850399,0,22,0.007906916000138153
0.006797832999836828,correlated_risk,correlated_risk_n360_m6_g18_s22,compressed,360,0.0011772500001825392,1,22,0.008037583999794151
0.045908875000350235,correlated_risk,correlated_risk_n360_m6_g18_s22,dense,360,0.00829158299984556,1,22,0.05424741600018024
0.0463990839998587,correlated_risk,correlated_risk_n360_m6_g18_s22,dense,360,0.007949458000439336,2,22,0.05439520799973252
0.006820499999776075,correlated_risk,correlated_risk_n360_m6_g18_s22,compressed,360,0.001222792000589834,2,22,0.00810570799967536
